TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_REG;DT_CONST;DT_CANCEL;SIT;DT_INI_SIT;DT_INI_EXERC;DT_FIM_EXERC
F.I.I.;19.878.616/0001-98;17007 NAÇÕES FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-12-16;2019-12-13;;EM FUNCIONAMENTO NORMAL;2019-12-27;2020-01-01;2020-12-31
F.I.I.;19.419.994/0001-03;2509 FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2013-12-27;2013-12-10;;EM FUNCIONAMENTO NORMAL;2013-12-27;2020-01-01;2020-12-31
F.I.I.;19.213.231/0001-01;AB CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-12-29;2013-10-11;;EM FUNCIONAMENTO NORMAL;2017-12-29;2020-01-01;2020-12-31
F.I.I.;19.959.754/0001-00;AB CAPITAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-12-29;2014-10-10;;EM FUNCIONAMENTO NORMAL;2017-12-29;2020-01-01;2020-12-31
F.I.I.;32.065.364/0001-46;AF INVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS;2019-09-04;2018-10-25;;EM FUNCIONAMENTO NORMAL;2019-10-17;2020-01-01;2020-12-31
F.I.I.;12.877.873/0001-66;AF INVEST SÃO SEBASTIÃO FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;2011-10-31;;2014-06-27;CANCELADA;2014-06-27;;
F.I.I.;31.547.782/0001-07;AGRI8 - FUNDO D E INVESTIMENTO IMOBILIARIO;2018-10-19;2018-08-24;;EM FUNCIONAMENTO NORMAL;2018-12-03;2020-01-01;2020-12-31
F.I.I.;27.773.327/0001-52;AIRPORT TOWN FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2017-09-22;2017-03-13;;EM FUNCIONAMENTO NORMAL;2018-12-14;2020-01-01;2020-12-31
F.I.I.;23.381.427/0001-82;ALB - Fundo de Investimento Imobiliário;2015-12-30;2015-09-16;2018-03-22;CANCELADA;2018-03-22;2019-01-01;2019-12-31
F.I.I.;01.792.958/0001-25;ALDEIA DO VALE FII;1997-05-20;;2009-05-08;CANCELADA;2009-05-08;;
F.I.I.;34.847.063/0001-08;ALIANZA FOFII FUNDO DE INVESTIMENTO IMOBILIÁRIO;2020-01-22;2019-09-05;;EM FUNCIONAMENTO NORMAL;2020-03-13;2020-03-13;2020-12-31
F.I.I.;26.648.616/0001-67;ALIANZA PROJETOS ESTRUTURADOS - FUNDO DE INVESTIMENTO IMOBILIARIO;2016-12-06;2016-11-16;2019-10-29;CANCELADA;2019-10-29;;
