TP_FUNDO;CNPJ_FUNDO;DT_REG;CNPJ_ADMIN;ADMIN
FACFIF;00.067.956/0001-00;1994-05-27;21.562.962/0001-04;BANCO CREDITO REAL DE MG SA
FACFIF;00.856.750/0001-60;2003-04-30;33.066.408/0001-15;BANCO ABN AMRO REAL S.A.
FACFIF;01.103.105/0001-39;2003-04-30;29.650.082/0001-00;BTG PACTUAL ASSET MANAGEMENT S/A DTVM
FACFIF;01.146.544/0001-29;2003-04-30;61.472.676/0001-72;BANCO SANTANDER BRASIL SA
FACFIF;01.174.071/0001-73;2003-04-30;33.066.408/0001-15;BANCO ABN AMRO REAL S.A.
FACFIF;01.268.865/0001-04;2003-04-30;60.746.948/0001-12;BANCO BRADESCO S.A.
FACFIF;01.268.874/0001-97;2003-04-30;60.746.948/0001-12;BANCO BRADESCO S.A.
FACFIF;01.554.875/0001-06;2003-04-30;61.472.676/0001-72;BANCO SANTANDER BRASIL SA
FACFIF;01.615.670/0001-85;2003-04-30;17.192.451/0001-70;BANCO ITAUCARD S.A.
FACFIF;02.180.901/0001-38;2003-04-30;43.073.394/0001-10;BANCO NOSSA CAIXA S/A
FACFIF;02.181.111/0001-77;2003-04-30;29.650.082/0001-00;BTG PACTUAL ASSET MANAGEMENT S/A DTVM
FACFIF;02.846.242/0001-26;2003-04-30;60.701.190/0001-04;ITAU UNIBANCO S.A.
FACFIF;02.911.457/0001-83;2003-04-30;17.192.451/0001-70;BANCO ITAUCARD S.A.
FACFIF;02.935.857/0001-29;2003-04-30;60.701.190/0001-04;ITAU UNIBANCO S.A.
FACFIF;02.998.765/0001-98;2003-04-30;43.073.394/0001-10;BANCO NOSSA CAIXA S/A
FACFIF;03.011.931/0001-83;1999-04-05;61.230.165/0001-44;BANCO COMERCIAL E DE INVESTIMENTO SUDAMERIS S.A.
FACFIF;03.757.359/0001-04;2003-04-30;03.384.738/0001-98;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.
FACFIF;04.052.654/0001-10;2003-04-30;33.479.023/0001-80;BANCO CITIBANK S.A
FACFIF;04.123.637/0001-26;2003-04-30;02.201.501/0001-61;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.
FACFIF;04.538.423/0001-10;2003-04-30;02.201.501/0001-61;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.
FACFIF;04.605.006/0001-43;2001-09-03;01.701.201/0001-89;KIRTON BANK S.A. - BANCO MÚLTIPLO
FACFIF;04.701.112/0001-20;2003-04-30;60.701.190/0001-04;ITAU UNIBANCO S.A.
FACFIF;04.810.809/0001-30;2003-04-30;33.172.537/0001-98;BANCO J.P. MORGAN S.A.
FACFIF;04.820.001/0001-33;2003-04-30;33.311.713/0001-25;ITAÚ DTVM S.A.
FACFIF;05.024.979/0001-51;2003-04-30;60.746.948/0001-12;BANCO BRADESCO S.A.
FACFIF;05.627.889/0001-55;2003-11-21;33.868.597/0001-40;CITIBANK DTVM SA
FACFIF;05.900.475/0001-58;2003-10-01;02.201.501/0001-61;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.
FACFIF;06.006.066/0001-75;2004-11-29;33.868.597/0001-40;CITIBANK DTVM SA
FACFIF;06.190.240/0001-82;2004-07-12;58.229.246/0001-10;BRADESCO-KIRTON CORRETORA DE CÂMBIO S.A.
FACFIF;06.537.068/0001-90;2004-08-02;04.902.979/0001-44;BANCO DA AMAZÔNIA S.A.
FACFIF;07.408.147/0001-64;2005-04-11;04.902.979/0001-44;BANCO DA AMAZÔNIA S.A.
FICART;00.957.476/0001-15;1995-12-22;48.103.014/0001-67;BANCO SUDAMERIS DE INVESTIMENTO SA
FICART;32.836.417/0001-85;2019-02-01;22.610.500/0001-88;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;05.285.819/0001-66;2008-11-26;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
FIDC;05.429.936/0001-56;2002-12-27;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
FIDC;05.452.428/0001-99;2003-03-21;61.024.352/0001-71;BANCO INDUSVAL S.A.
FIDC;05.453.375/0001-20;2003-03-07;02.279.042/0001-39;MVR PARTICIPAÇÕES S/A
FIDC;05.607.467/0001-18;2003-05-23;52.904.364/0001-08;NECTON INVESTIMENTOS S.A. CORRETORA DE VALORES MOBILIÁRIOS E COMMODITIES
FIDC;05.630.105/0001-48;2003-09-12;62.084.074/0001-00;LIDERPRIME  -  PARTICIPAÇÕES S.A.
FIDC;05.630.130/0001-21;2003-09-25;00.360.305/0001-04;CAIXA ECONOMICA FEDERAL
FIDC;05.753.599/0001-58;2003-12-12;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
