TP_FUNDO;CNPJ_FUNDO;DT_REG;CNPJ_AUDITOR;AUDITOR
F.I.I.;00.286.649/0001-10;1994-12-21;40.262.602/0001-31;BKR - LOPES, MACHADO AUDITORES
F.I.I.;00.332.266/0001-31;1995-02-06;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
F.I.I.;00.407.634/0001-63;1994-12-27;60.849.528/0001-61;BIANCHESSI & CIA  AUDITORES
F.I.I.;00.613.094/0001-74;1995-03-08;13.859.935/0001-70;BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES
F.I.I.;00.762.723/0001-28;1995-07-07;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
F.I.I.;00.784.398/0001-02;1995-09-29;40.262.602/0001-31;BKR - LOPES, MACHADO AUDITORES
F.I.I.;00.818.622/0001-21;1995-07-17;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
F.I.I.;00.868.235/0001-08;1995-09-14;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
F.I.I.;00.944.745/0001-09;1995-12-18;44.038.248/0001-17;ARTHUR ANDERSEN BIEDERMANN A I
F.I.I.;00.968.964/0001-28;1995-03-28;33.017.310/0001-78;RUHTRA S/C
F.I.I.;01.094.043/0001-46;1996-03-04;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
F.I.I.;01.165.310/0001-29;1996-04-12;01.252.437/0001-85;CLAUDIO BIANCHESSI & ASSOC AUDITORES S/C
F.I.I.;01.193.012/0001-42;1996-03-21;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES
F.I.I.;01.201.140/0001-90;1996-02-27;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
F.I.I.;01.207.066/0001-10;1996-03-29;62.650.403/0001-33;BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S
F.I.I.;01.235.622/0001-61;1996-03-25;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
F.I.I.;01.257.893/0001-18;1996-02-27;33.017.310/0001-78;RUHTRA S/C
F.I.I.;01.356.517/0001-80;1996-07-24;42.165.506/0001-09;AUDIPEC AUDITORIA E PERÍCIA CONTÁBIL S/S
F.I.I.;01.389.541/0001-16;1996-08-15;92.838.150/0001-97;NARDON, NASI - AUDITORES INDEPENDENTES S/S EPP
F.I.I.;01.476.194/0001-69;1996-10-02;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES
F.I.I.;01.497.954/0001-14;1996-10-02;52.803.244/0001-06;KPMG AUDITORES ASSOCIADOS
F.I.I.;01.532.445/0001-85;1997-07-01;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES
F.I.I.;01.590.126/0001-26;1996-07-15;33.017.310/0001-78;RUHTRA S/C
F.I.I.;01.601.918/0001-59;1996-12-19;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
F.I.I.;01.633.741/0001-72;1994-04-15;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES
F.I.I.;01.636.325/0001-28;1997-01-22;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES
F.I.I.;01.657.856/0001-05;1997-01-03;16.549.480/0001-84;RSM BRASIL AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES
F.I.I.;01.701.662/0001-51;1997-04-07;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES
F.I.I.;01.768.663/0001-13;1996-07-02;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES
F.I.I.;01.768.798/0001-89;1996-03-18;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES
F.I.I.;01.783.896/0001-95;1997-05-06;01.252.437/0001-85;CLAUDIO BIANCHESSI & ASSOC AUDITORES S/C
F.I.I.;01.842.552/0001-00;1997-05-19;33.017.310/0001-78;RUHTRA S/C
F.I.I.;01.964.775/0001-40;1997-06-11;52.803.244/0001-06;KPMG AUDITORES ASSOCIADOS
F.I.I.;02.027.437/0001-44;1997-08-05;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
F.I.I.;02.508.235/0001-14;1998-06-10;18.227.733/0001-29;PEMOM AUDITORES INDEPENDENTES S/S
F.I.I.;03.251.720/0001-18;1999-06-30;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES
F.I.I.;03.507.519/0001-59;1999-12-21;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
F.I.I.;03.683.056/0001-86;2000-02-01;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
F.I.I.;03.855.441/0001-63;2000-06-23;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES
F.I.I.;04.066.582/0001-60;2000-10-03;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
F.I.I.;04.141.645/0001-03;2000-11-22;16.549.480/0001-84;RSM BRASIL AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES
F.I.I.;04.722.883/0001-02;2001-10-10;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES
F.I.I.;04.782.236/0001-88;2001-11-22;03.243.327/0001-82;POLEZA AUDITORES INDEPENDENTES SS
F.I.I.;05.562.312/0001-02;2003-03-17;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
F.I.I.;05.896.110/0001-05;2003-08-22;61.065.819/0001-21;TRS AUDITORES INDEPENDENTES
