CNPJ DO FUNDO;NOME DO FUNDO;CLASSE;CLASSE;TX. ADM;ADMINISTRADOR;GESTOR;CARÊNCIA;CONVERSÃO DE COTAS;DISP. REC. RESGATADO;TAXA_SAIDA;MOTIVO
00.828.035/0001-13;FATOR MAX CORPORATIVO FUNDO DE INVESTIMENTO DE RENDA FIXA LONGO PRAZO CRÉDITO PRIVADO;FI;Fundo de Renda Fixa;0;BANCO FATOR S/A;FAR FATOR ADMINISTRAÇÃO DE RECURSOS LTDA;Não há.;D+0;D+0;0;Ativo Vedado / CRI/CRA /
01.107.772/0001-90;CONCÓRDIA EXTRA FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO;FI;Fundo de Renda Fixa;1;CONCÓRDIA S.A. CVMCC;CONCÓRDIA GESTÃO DE RECURSOS LTDA;Não há.;D+0;D+0;0;Ativo Vedado / FIDC Vedado /
01.375.954/0001-41;PLANNER FUNDO DE INVESTIMENTO MULTIMERCADO;FI;Fundo Multimercado;2;PLANNER CORRETORA DE VALORES SA;PLANNER CORRETORA DE VALORES SA;Não há.;D+0;D+0;0;Ativo Vedado /
01.653.201/0001-50;GRAU SAVANA FUNDO DE INVESTIMENTO MULTIMERCADO;FI;Fundo Multimercado;1;PLANNER CORRETORA DE VALORES SA;GRAU GESTÃO DE ATIVOS LTDA;Não há.;D+0;D+1;0;Ativo Vedado / FIP Vedado /
03.362.624/0001-47;GWI CLASSIC FUNDO DE INVESTIMENTO EM AÇÕES;FI;Fundo de Ações;2;PLANNER CORRETORA DE VALORES SA;GWI ASSET MANAGEMENT S.A.;2 anos;D+0;D+10;0;FII Vedado /
04.877.280/0001-71;SANTOS CREDIT YIELD FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO;FI;Fundo de Renda Fixa;2;ICLA TRUST SERVIÇOS FINANCEIROS S.A.;MACROINVEST GESTÃO DE RECURSOS LTDA;(vide regulamento);(vide regulamento);(vide regulamento);2;Ativo Vedado /
05.086.234/0001-17;BRB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM RENDA FIXA DI LONGO PRAZO 500;FI;Fundo de Renda Fixa;2;BRB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;BRB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;Não há.;D+0;D+0;0;Ativo Vedado / FIDC Vedado / FII Vedado /
05.313.396/0001-40;MICROFINANÇAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;FI;Fundo Multimercado;0;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;CARPA GESTORA DE RECURSOS LTDA.;365 dias corridos;D+90;D+91;0;FIDC Vedado /
06.018.364/0001-85;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FIDC PREMIUM;FIDC;FIDC;0;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;Data de encerramento do Fundo;(vide regulamento);(vide regulamento);0;FIDC Vedado
06.086.158/0001-02;SANTOS CREDIT MASTER FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO;FI;Fundo de Renda Fixa;2;ICLA TRUST SERVIÇOS FINANCEIROS S.A.;MACROINVEST GESTÃO DE RECURSOS LTDA;nd;(vide regulamento);(vide regulamento);2;Ativo Vedado /
07.399.646/0001-32;FIDC DA INDÚSTRIA EXODUS I;FIDC;FIDC;2;GRADUAL CCTVM S/A;NOVA S.R.M. ADMINISTRAÇÃO DE RECURSOS E FINANÇAS S/A;0;Data de encerramento do Fundo;Data de encerramento do Fundo;0;FIDC Vedado
07.766.151/0001-02;FIDC BCSUL VERAX MULTICRED FINANCEIRO;FIDC;FIDC;0;MASSA FALIDA DA CRUZEIRO DO SUL S.A. DTVM;BCSUL VERAX SERVIÇOS FINANCEIROS LTDA;0;Data de encerramento do Fundo;(vide regulamento);0;FIDC Vedado
07.967.080/0001-06;RIO ARBITRAGEM FUNDO DE INVESTIMENTO MULTIMERCADO;FI;Fundo Multimercado;2;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;RIO PERFORMANCE GESTÃO DE RECURSOS LTDA;Não há.;D+0;D+1;0;FIP Vedado /
