ident_ativo;nm_ativo;eh_fundo_vedado;nm_fundo;cnpj_admin;cnpj_gestor;enquad_sprev;enquad_sprev_pad;atende_art15;TP_FUNDO;DENOM_SOCIAL;DT_REG;DT_CONST;DT_CANCEL;SIT;DT_INI_SIT;DT_INI_EXERC;DT_FIM_EXERC;qtd_rpps_investindo;eh_investigado;DT_COMPTC;VL_PATRIM_LIQ;NR_COTST
00071477000168; BB RF CP AUTOMATICO;0;NA;NA;NA;NA;NA;NA;FACFIF;BB RENDA FIXA CURTO PRAZO AUTOMÁTICO EMPRESA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENT;2003-04-30;1994-05-19;2005-03-24;CANCELADA;2005-03-24;NA;NA;   1;0;2020-05-29;28500618701;321474
00360305000104; CAIXA FI BRASIL IRF-M 1 TP RF;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;   7;0;NA;NA;NA
00756851000169; BB ÁGIL FIC RENDA FIXA REFERENCIADO DI;0;BB RENDA FIXA REFERENCIADO DI ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;30822936;30822936;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FACFIF;BB RENDA FIXA REFERENCIADO DI ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2003-04-30;1995-08-07;2005-03-24;CANCELADA;2005-03-24;NA;NA;   3;0;2020-05-29;14273810591;418765
00812433000141; BNB AUTOMÁTICO FI RENDA FIXA CURTO PRAZO;0;BNB AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;62318407;07237373;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FIF;BNB AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;2003-04-30;1995-10-02;2005-03-21;CANCELADA;2005-03-21;2004-04-01;2005-03-31;   2;0;2020-05-29; 1797051464; 42038
00822059000165; BB AÇÕES IBOVESPA ATIVO FIC;0;BB AÇÕES IBOVESPA ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;30822936;30822936;Artigo 8º, Inciso I, 'a';ART8IA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;  13;0;2020-05-29;  142560834;  6458
00832435000100; ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI - FI;0;ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI - FUNDO DE INVESTIMENTO;60701190;60701190;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FIF;ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI - FUNDO DE INVESTIMENTO;2003-04-30;1995-10-02;2005-03-07;CANCELADA;2005-03-07;NA;NA;  31;0;2020-05-29; 1032084691;   113
00834074000123; CAIXA FIC PRATICO RENDA FIXA CURTO PRAZO;0;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA PRÁTICO RENDA FIXA CURTO PRAZO;00360305;00360305;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FIF;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA PRÁTICO RENDA FIXA CURTO PRAZO;2003-04-30;1995-10-02;2004-12-02;CANCELADA;2004-12-02;NA;NA; 241;0;2020-05-29;19621386992; 15922
00838267000152; BANESTES INVESTIDOR AUTOMÁTICO FI RF CURTO PRAZO;0;BANESTES INVESTIDOR AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;28127603;28156057;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FIF;BANESTES INVESTIDOR AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;2003-04-30;1995-10-02;2005-04-15;CANCELADA;2005-04-15;NA;NA;  13;0;2020-05-29;  754928998; 10211
00840011000180; BTG PACTUAL YIELD FI RENDA FIXA REFERENCIADO DI CREDITO PRIVADO;0;BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CRÉDITO PRIVADO;59281253;29650082;Artigo 7º, Inciso VII, 'b';ART7VIIB; 1;FIF;BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CRÉDITO PRIVADO;2003-04-30;1995-10-02;2005-03-10;CANCELADA;2005-03-10;NA;NA;   3;0;2020-05-29; 1425694177; 12885
00856755000192; SANTANDER FIC FI PRIORITY RF REF DI;0;SANTANDER FIC FI PRIORITY RENDA FIXA REFERENCIADO DI;90400888;10231177;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FACFIF;SANTANDER FIC FI PRIORITY RENDA FIXA REFERENCIADO DI;2003-04-30;1995-11-01;2005-01-01;CANCELADA;2005-01-01;2005-01-01;2005-12-31;   2;0;2020-05-29; 2963202870; 16498
00888899000120; Somma Institucional Dinâmico Multimercado;0;SOMMA INSTITUCIONAL DINÂMICO FUNDO DE INVESTIMENTO MULTIMERCADO;00066670;05563299;Artigo 8º, Inciso III;ART8III; 1;FIF;SOMMA INSTITUCIONAL DINÂMICO FUNDO DE INVESTIMENTO MULTIMERCADO;2003-04-30;1995-10-24;2005-03-10;CANCELADA;2005-03-10;NA;NA;   2;0;NA;NA;NA
00973117000151; ITAÚ INSTITUCIONAL JUROS E MOEDAS FIC MULTIMERCADO;0;ITAÚ INSTITUCIONAL MULTIMERCADO JUROS E MOEDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVEST;60701190;60701190;Artigo 8º, Inciso III;ART8III; 1;FIF;ITAÚ INSTITUCIONAL MULTIMERCADO JUROS E MOEDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVEST;2003-04-30;1995-12-20;2005-03-11;CANCELADA;2005-03-11;2004-10-01;2005-09-30;  17;0;2020-05-29;   71249441;    29
