ident_ativo;nm_ativo;eh_fundo_vedado;nm_fundo;cnpj_admin;cnpj_gestor;enquad_sprev;enquad_sprev_pad;atende_art15;DENOM_SOCIAL;DT_REG;DT_CONST;DT_CANCEL;SIT;DT_INI_SIT;DT_INI_ATIV;DT_INI_EXERC;DT_FIM_EXERC;CLASSE;DT_INI_CLASSE;RENTAB_FUNDO;CONDOM;FUNDO_COTAS;FUNDO_EXCLUSIVO;TRIB_LPRAZO;INVEST_QUALIF;TAXA_PERFM;INF_TAXA_PERFM;TAXA_ADM;INF_TAXA_ADM;VL_PATRIM_LIQ.x;DT_PATRIM_LIQ;TP_FUNDO;qtd_rpps_investindo;eh_investigado;DT_COMPTC;VL_PATRIM_LIQ.y;NR_COTST
00071477000168; BB RF CP AUTOMATICO;0;NA;NA;NA;NA;NA;NA;BB RENDA FIXA CURTO PRAZO AUTOMÁTICO EMPRESA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENT;2005-03-29;1994-05-19;NA;EM FUNCIONAMENTO NORMAL;2005-03-24;1994-05-19;2020-04-01;2021-03-31;Fundo de Renda Fixa;2016-03-23;DI de um dia;Aberto;S;N;N;N;  0;NA;2.25;NA;28500618701.01;2020-05-29;NA;   1;0;2020-05-29;28500618701,0;321474
00071477000168; BB RF CP AUTOMATICO;0;NA;NA;NA;NA;NA;NA;BB RENDA FIXA CURTO PRAZO AUTOMÁTICO EMPRESA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENT;2003-04-30;1994-05-19;2005-03-24;CANCELADA;2005-03-24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FACFIF;   1;0;2020-05-29;28500618701,0;321474
00360305000104; CAIXA FI BRASIL IRF-M 1 TP RF;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;   7;0;NA;NA;NA
00756851000169; BB ÁGIL FIC RENDA FIXA REFERENCIADO DI;0;BB RENDA FIXA REFERENCIADO DI ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;30822936;30822936;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;BB RENDA FIXA REFERENCIADO DI ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2005-03-29;1995-08-07;NA;EM FUNCIONAMENTO NORMAL;2005-03-24;1995-08-07;2020-04-01;2021-03-31;Fundo de Renda Fixa;2005-03-24;DI de um dia;Aberto;S;N;N;N;  0;NA;2;NA;14273810591.10;2020-05-29;NA;   3;0;2020-05-29;14273810591,1;418765
00756851000169; BB ÁGIL FIC RENDA FIXA REFERENCIADO DI;0;BB RENDA FIXA REFERENCIADO DI ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;30822936;30822936;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;BB RENDA FIXA REFERENCIADO DI ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2003-04-30;1995-08-07;2005-03-24;CANCELADA;2005-03-24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FACFIF;   3;0;2020-05-29;14273810591,1;418765
00812433000141; BNB AUTOMÁTICO FI RENDA FIXA CURTO PRAZO;0;BNB AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;62318407;07237373;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;BNB AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;2005-03-29;1995-10-02;NA;EM FUNCIONAMENTO NORMAL;2005-03-21;1995-10-02;2020-04-01;2021-03-31;Fundo de Renda Fixa;2015-10-19;DI de um dia;Aberto;N;N;N;N;  0;NA;2.5;NA;1797051463.53;2020-05-29;NA;   2;0;2020-05-29; 1797051463,5; 42038
00812433000141; BNB AUTOMÁTICO FI RENDA FIXA CURTO PRAZO;0;BNB AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;62318407;07237373;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;BNB AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;2003-04-30;1995-10-02;2005-03-21;CANCELADA;2005-03-21;NA;2004-04-01;2005-03-31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FIF;   2;0;2020-05-29; 1797051463,5; 42038
00822059000165; BB AÇÕES IBOVESPA ATIVO FIC;0;BB AÇÕES IBOVESPA ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;30822936;30822936;Artigo 8º, Inciso I, 'a';ART8IA; 1;BB AÇÕES IBOVESPA ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2005-03-21;1995-09-15;NA;EM FUNCIONAMENTO NORMAL;2005-03-12;1995-10-02;2019-10-01;2020-09-30;Fundo de Ações;2005-03-12;Ibovespa;Aberto;S;N;NA;N;  0;NA;2;NA;142560833.99;2020-05-29;NA;  13;0;2020-05-29;  142560834,0;  6458
00832435000100; ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI - FI;0;ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI - FUNDO DE INVESTIMENTO;60701190;60701190;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI - FUNDO DE INVESTIMENTO;2005-03-16;1995-10-02;NA;EM FUNCIONAMENTO NORMAL;2005-03-07;1995-10-02;2020-05-01;2021-04-30;Fundo de Renda Fixa;2016-01-19;DI de um dia;Aberto;N;N;N;N;  0;NA;0.18;NA;1032084691.40;2020-05-29;NA;  31;0;2020-05-29; 1032084691,4;   113
00832435000100; ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI - FI;0;ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI - FUNDO DE INVESTIMENTO;60701190;60701190;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI - FUNDO DE INVESTIMENTO;2003-04-30;1995-10-02;2005-03-07;CANCELADA;2005-03-07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FIF;  31;0;2020-05-29; 1032084691,4;   113
